Consecutivo;;Cliente;Producto;PesoVenta;Sacos;Precio;Total
252;06/10/2015 09:55:13;96;1;4250;0;6000;25500000
253;06/10/2015 09:55:26;96;1;1281;0;6000;7686000
254;09/10/2015 08:13:53;76;9;30;0;8500;255000
255;09/10/2015 10:55:46;277;9;15449,2;0;8200;126683440
256;09/10/2015 10:56:05;277;9;4114,92;0;8200;33742344
257;09/10/2015 10:58:41;277;9;16918,12;0;8200;138728584
258;09/10/2015 11:04:25;277;9;34420;0;8250;283965000
259;13/10/2015 12:00:08;77;9;11524;230;8100;93344400
260;13/10/2015 12:00:36;77;9;16085;317;8100;130288500
261;13/10/2015 12:08:49;77;9;16634;0;8100;134735400
262;13/10/2015 14:04:55;2105;9;25000;0;8400;210000000
263;15/10/2015 11:56:48;77;9;11484;0;8100;93020400
264;15/10/2015 12:04:17;77;9;997;0;8100;8075700
265;15/10/2015 12:11:21;592;1;13819;0;6480;89547120
266;15/10/2015 12:11:44;592;1;13583;0;6480;88017840
267;15/10/2015 12:14:54;592;1;13189;0;6480;85464720
268;15/10/2015 12:16:19;592;1;12527;0;6480;81174960
269;16/10/2015 18:29:22;96;1;13900;0;5840;81176000
270;16/10/2015 18:29:53;96;1;11812;0;5840;68982080
271;16/10/2015 18:30:42;96;1;13363;0;6040;80712520
272;16/10/2015 18:31:12;96;1;14026;0;6040;84717040
273;16/10/2015 18:31:49;96;1;13824;0;6040;83496960
274;16/10/2015 18:32:50;96;1;10493;0;6400;67155200
275;16/10/2015 18:33:59;96;1;14320;0;6400;91648000
276;16/10/2015 18:36:03;96;1;8599;0;6040;51937960
277;16/10/2015 18:36:33;96;1;5151;0;6400;32966400
278;16/10/2015 18:37:07;96;1;6806;0;6400;43558400
279;16/10/2015 18:38:26;96;1;4288;0;5840;25041920
280;16/10/2015 18:39:18;96;1;4288;0;5840;25041920
281;16/10/2015 18:39:55;96;1;83;0;6040;501320
282;16/10/2015 18:42:28;96;1;188;0;6040;1135520
283;16/10/2015 18:44:19;96;1;13230;0;6400;84672000
284;17/10/2015 09:24:46;76;9;30;0;8000;240000
285;20/10/2015 07:39:41;2279;7;29032;0;5000;145160000
286;20/10/2015 09:27:36;76;9;30;0;8000;240000
287;22/10/2015 15:28:08;592;9;16515;0;8100;133771500
288;23/10/2015 11:07:14;592;1;1882;0;6428;12097496
289;23/10/2015 11:08:59;592;1;11329;0;5912;66977048
290;23/10/2015 11:09:39;592;1;8671;0;5912;51262952
291;23/10/2015 11:12:14;592;1;10000;0;5912;59120000
292;23/10/2015 15:36:37;96;1;7844;0;6264;49134816
293;23/10/2015 15:36:53;96;1;11734;0;6264;73501776
294;23/10/2015 15:37:50;96;1;6740;0;6264;42219360
295;23/10/2015 15:38:23;96;1;13682;0;6264;85704048
296;23/10/2015 15:39:06;96;1;518;0;5880;3045840
297;23/10/2015 15:40:42;96;1;10000;0;6264;62640000
298;23/10/2015 15:41:05;96;1;2960;0;5880;17404800
299;23/10/2015 15:41:33;96;1;12990;0;5880;76381200
300;23/10/2015 15:42:10;96;1;13510;0;5880;79438800
301;23/10/2015 15:42:47;96;1;11930;0;5880;70148400
302;23/10/2015 15:43:20;96;1;8092;0;5880;47580960
303;26/10/2015 16:56:41;592;9;16217;0;8100;131357700
304;26/10/2015 17:00:54;592;1;44953;0;5714;256861442
305;28/10/2015 12:27:30;592;9;16586;0;8100;134346600
306;29/10/2015 17:17:01;96;1;3878;0;5720;22182160
307;29/10/2015 17:17:26;96;1;11172;0;5760;64350720
308;29/10/2015 17:18:12;96;1;13510;0;5720;77277200
309;29/10/2015 17:18:43;96;1;14140;0;5720;80880800
310;29/10/2015 17:19:12;96;1;14460;0;5720;82711200
311;29/10/2015 17:20:21;96;1;4012;0;5720;22948640
312;29/10/2015 17:20:49;96;1;8828;0;5760;50849280
313;30/10/2015 15:01:01;592;9;16718;0;8100;135415800
314;30/10/2015 15:01:14;592;9;13372;0;8100;108313200
315;30/10/2015 07:39:10;592;1;11935;0;5858;69915230
